year,class,cited_class,citation_count
1990,Y02A10,Y02A10,77
1990,Y02A10,Y02A20,4
1990,Y02A10,Y02A30,6
1990,Y02A10,Y02A40,6
1990,Y02A10,Y02E10,3
1990,Y02A10,Y02W10,11
1990,Y02A10,Y02W30,10
1990,Y02A20,Y02A10,7
1990,Y02A20,Y02A20,677
1990,Y02A20,Y02A30,4
1990,Y02A20,Y02A40,3
1990,Y02A20,Y02A50,1
1990,Y02A20,Y02B10,14
1990,Y02A20,Y02B30,9
1990,Y02A20,Y02B40,1
1990,Y02A20,Y02E10,71
1990,Y02A20,Y02E20,2
1990,Y02A20,Y02E30,2
1990,Y02A20,Y02E50,1
1990,Y02A20,Y02E60,2
1990,Y02A20,Y02E70,1
1990,Y02A20,Y02P20,1
1990,Y02A20,Y02P30,1
1990,Y02A20,Y02P40,1
1990,Y02A20,Y02P70,2
1990,Y02A20,Y02P80,3
1990,Y02A20,Y02T10,1
1990,Y02A20,Y02W10,45
1990,Y02A20,Y02W30,4
1990,Y02A30,Y02A10,1
1990,Y02A30,Y02A20,2
1990,Y02A30,Y02A30,332
1990,Y02A30,Y02A40,5
1990,Y02A30,Y02A50,1
1990,Y02A30,Y02B10,58
1990,Y02A30,Y02B20,1
1990,Y02A30,Y02B30,173
1990,Y02A30,Y02B40,4
1990,Y02A30,Y02B80,82
1990,Y02A30,Y02C20,1
1990,Y02A30,Y02D30,5
1990,Y02A30,Y02E10,83
1990,Y02A30,Y02E20,1
1990,Y02A30,Y02E30,5
1990,Y02A30,Y02E60,31
1990,Y02A30,Y02E70,5
1990,Y02A30,Y02P20,23
1990,Y02A30,Y02P60,7
1990,Y02A30,Y02P70,3
1990,Y02A30,Y02P80,2
1990,Y02A30,Y02T10,15
1990,Y02A30,Y02T50,1
1990,Y02A30,Y02W10,1
1990,Y02A30,Y02W30,8
1990,Y02A40,Y02A10,2
1990,Y02A40,Y02A20,9
1990,Y02A40,Y02A30,4
1990,Y02A40,Y02A40,802
1990,Y02A40,Y02A50,18
1990,Y02A40,Y02B10,18
1990,Y02A40,Y02B30,4
1990,Y02A40,Y02B40,6
1990,Y02A40,Y02E10,40
1990,Y02A40,Y02E20,2
1990,Y02A40,Y02E30,2
1990,Y02A40,Y02E50,23
1990,Y02A40,Y02E60,3
1990,Y02A40,Y02P20,140
1990,Y02A40,Y02P40,2
1990,Y02A40,Y02P60,81
1990,Y02A40,Y02P70,3
1990,Y02A40,Y02P90,2
1990,Y02A40,Y02T10,2
1990,Y02A40,Y02W10,45
1990,Y02A40,Y02W30,98
1990,Y02A40,Y02W90,7
1990,Y02A50,Y02A20,1
1990,Y02A50,Y02A40,9
1990,Y02A50,Y02A50,569
1990,Y02A50,Y02B30,3
1990,Y02A50,Y02B40,1
1990,Y02A50,Y02C20,13
1990,Y02A50,Y02E20,8
1990,Y02A50,Y02E30,1
1990,Y02A50,Y02E50,11
1990,Y02A50,Y02E60,9
1990,Y02A50,Y02P10,5
1990,Y02A50,Y02P20,46
1990,Y02A50,Y02P30,1
1990,Y02A50,Y02P40,1
1990,Y02A50,Y02P60,1
1990,Y02A50,Y02P70,1
1990,Y02A50,Y02P90,1
1990,Y02A50,Y02T10,201
1990,Y02A50,Y02T50,2
1990,Y02A50,Y02W10,105
1990,Y02A50,Y02W30,24
1990,Y02A90,Y02A90,69
1990,Y02A90,Y02E30,1
1990,Y02A90,Y02E60,1
1990,Y02A90,Y02P90,1
1990,Y02B10,Y02A20,7
1990,Y02B10,Y02A30,33
1990,Y02B10,Y02A40,14
1990,Y02B10,Y02B10,226
1990,Y02B10,Y02B20,3
1990,Y02B10,Y02B30,47
1990,Y02B10,Y02B80,2
1990,Y02B10,Y02D30,4
1990,Y02B10,Y02E10,307
1990,Y02B10,Y02E60,36
1990,Y02B10,Y02E70,15
1990,Y02B10,Y02P60,7
1990,Y02B10,Y02P70,4
1990,Y02B10,Y02P80,5
1990,Y02B10,Y02T10,3
1990,Y02B20,Y02A40,1
1990,Y02B20,Y02B10,1
1990,Y02B20,Y02B20,327
