year,country,class,invention_count
1990,AE,Y02E10,1
1990,AM,Y02E10,1
1990,AM,Y02P60,1
1990,AR,Y02P10,1
1990,AR,Y02T10,4
1990,AR,Y02W30,2
1990,AT,Y02A20,1
1990,AT,Y02A30,1
1990,AT,Y02A40,6
1990,AT,Y02A50,8
1990,AT,Y02B10,2
1990,AT,Y02B20,5
1990,AT,Y02B30,10
1990,AT,Y02B70,2
1990,AT,Y02B90,2
1990,AT,Y02E10,4
1990,AT,Y02E20,2
1990,AT,Y02E30,2
1990,AT,Y02E40,2
1990,AT,Y02E50,2
1990,AT,Y02E60,6
1990,AT,Y02P10,12
1990,AT,Y02P20,9
1990,AT,Y02P40,2
1990,AT,Y02P70,7
1990,AT,Y02T10,20
1990,AT,Y02W10,6
1990,AT,Y02W30,12
1990,AU,Y02A10,1
1990,AU,Y02A30,1
1990,AU,Y02A40,6
1990,AU,Y02A50,7
1990,AU,Y02A90,1
1990,AU,Y02B10,1
1990,AU,Y02B30,3
1990,AU,Y02B70,2
1990,AU,Y02B80,1
1990,AU,Y02B90,3
1990,AU,Y02E10,4
1990,AU,Y02E30,1
1990,AU,Y02E60,7
1990,AU,Y02P10,13
1990,AU,Y02P20,3
1990,AU,Y02P40,2
1990,AU,Y02P60,2
1990,AU,Y02T10,17
1990,AU,Y02T50,2
1990,AU,Y02T70,1
1990,AU,Y02W10,3
1990,AU,Y02W30,6
1990,AZ,Y02A50,1
1990,AZ,Y02E30,3
1990,AZ,Y02T10,1
1990,BE,Y02A30,1
1990,BE,Y02A40,2
1990,BE,Y02A50,1
1990,BE,Y02B10,1
1990,BE,Y02B30,1
1990,BE,Y02B70,1
1990,BE,Y02B80,1
1990,BE,Y02B90,1
1990,BE,Y02D30,1
1990,BE,Y02E10,1
1990,BE,Y02E20,1
1990,BE,Y02E40,1
1990,BE,Y02E50,1
1990,BE,Y02E60,4
1990,BE,Y02P10,6
1990,BE,Y02P20,6
1990,BE,Y02T50,1
1990,BE,Y02W30,2
1990,BE,Y02W90,1
1990,BG,Y02E10,1
1990,BG,Y02E60,3
1990,BG,Y02T10,2
1990,BG,Y02W30,1
1990,BR,Y02A20,6
1990,BR,Y02A30,1
1990,BR,Y02A40,5
1990,BR,Y02A50,2
1990,BR,Y02B10,2
1990,BR,Y02B20,3
1990,BR,Y02E10,31
1990,BR,Y02E20,1
1990,BR,Y02E30,4
1990,BR,Y02E40,1
1990,BR,Y02E50,3
1990,BR,Y02E60,9
1990,BR,Y02P10,6
1990,BR,Y02P20,1
