apply_country,filing_year,assignee_country,cnt
US,2011,JP,42205
US,2012,JP,39910
US,2010,JP,27703
US,2009,JP,17813
US,2011,KR,17351
US,2013,JP,15582
US,2012,KR,15280
US,2019,JP,15257
US,2008,JP,14646
US,2017,JP,14283
US,2020,JP,14128
US,2016,JP,14073
US,2011,DE,14049
US,2018,JP,14007
US,2015,JP,13723
US,2014,JP,13315
US,2012,DE,12978
US,2021,JP,12544
US,2022,CN,11590
US,2022,JP,11533
US,2010,DE,10905
US,2023,CN,10867
US,2007,JP,10589
US,2010,KR,10538
US,2021,CN,10502
US,2020,KR,9821
US,2019,KR,9623
US,2022,KR,9601
US,2021,KR,9558
US,2020,CN,8520
US,2018,KR,8477
US,2017,KR,8197
US,2006,JP,8028
US,2015,KR,7400
US,2023,JP,7349
US,2014,KR,7204
US,2019,CN,7089
US,2023,KR,7088
US,2016,KR,6928
US,2013,KR,6673
US,2009,DE,6318
US,2012,CN,6040
US,2005,JP,5962
US,2011,CN,5807
US,2009,KR,5687
US,2018,CN,5660
US,2013,DE,5634
US,2011,FR,5613
US,2011,TW,5475
US,2019,DE,5379
US,2012,TW,5326
US,2012,FR,5267
US,2004,JP,5081
US,2010,FR,5078
US,2014,DE,5048
US,2015,DE,4878
US,2018,DE,4872
US,2008,DE,4858
US,2017,CN,4779
US,2020,DE,4661
US,2017,DE,4586
US,2021,DE,4455
US,2016,DE,4359
US,2008,KR,4055
CN,2005,JP,3985
US,2003,JP,3849
CN,2004,JP,3839
US,2011,GB,3763
US,2010,CN,3691
US,2012,CA,3680
US,2002,JP,3648
US,2011,CA,3619
US,2012,GB,3608
US,2010,TW,3567
US,2007,DE,3544
CA,2014,US,3523
CN,2006,JP,3477
CA,2013,US,3453
US,2016,CN,3419
CA,2016,US,3399
US,2007,KR,3302
US,2001,JP,3288
CA,2017,US,3193
CA,2011,US,3115
CN,2003,JP,3052
CA,2015,US,3034
US,2014,CN,3003
US,2009,FR,3001
CA,2010,US,2972
CN,2007,JP,2960
CA,2012,US,2955
CA,2009,US,2932
US,2022,DE,2894
US,2010,GB,2744
CA,2007,US,2721
US,2015,CN,2689
KR,2011,JP,2653
US,2013,FR,2653
US,2020,FR,2608
CA,2008,US,2574
US,2014,FR,2566
AU,2021,US,2565
CN,2002,JP,2557
TW,2012,JP,2479
US,2015,FR,2471
US,2006,DE,2458
CA,2006,US,2424
CA,2018,US,2419
CA,2021,US,2397
KR,2012,JP,2385
US,2010,CA,2378
KR,2015,JP,2358
US,2008,FR,2352
US,2009,TW,2339
US,2013,CN,2306
TW,2011,JP,2295
CA,2005,US,2290
US,2016,FR,2252
KR,2010,JP,2228
CA,2019,US,2225
US,2021,FR,2222
DE,2000,JP,2217
AU,2019,US,2216
KR,2014,JP,2202
KR,2018,JP,2200
AU,2017,US,2177
KR,2017,JP,2166
CN,2006,US,2155
AU,2018,US,2154
TW,2015,JP,2144
AU,2020,US,2134
TW,2013,JP,2133
CA,2004,US,2126
US,2019,FR,2121
KR,2016,JP,2114
DE,2001,JP,2106
TW,2014,JP,2098
TW,2019,JP,2097
TW,2018,JP,2087
CA,2020,US,2074
US,2006,KR,2074
AU,2021,IN,2073
US,2013,TW,2066
US,2018,FR,2058
KR,2022,JP,2046
KR,2014,US,2043
KR,2013,JP,2016
US,2011,AU,1998
CA,2003,US,1997
CN,2005,US,1993
US,2000,JP,1992
CN,2007,US,1990
TW,2017,JP,1987
DE,2015,US,1982
US,2017,FR,1955
TW,2016,JP,1949
AU,2016,US,1947
CN,2001,JP,1942
KR,2021,JP,1938
DE,2013,US,1916
KR,2013,US,1916
DE,2015,JP,1884
US,2009,CN,1877
DE,1997,JP,1876
KR,2015,US,1874
US,2014,TW,1873
DE,2002,JP,1865
DE,2017,JP,1853
TW,2020,JP,1853
CN,2004,US,1851
BR,2013,US,1849
DE,2018,JP,1841
KR,2017,US,1822
US,2019,GB,1820
US,2005,DE,1814
KR,2009,JP,1813
CA,2002,US,1812
KR,2007,JP,1810
US,1997,JP,1810
DE,2016,JP,1802
CN,2003,US,1799
DE,1998,JP,1799
KR,2019,JP,1796
DE,2014,US,1783
KR,2008,JP,1777
KR,2016,US,1777
KR,2021,US,1771
CA,2001,US,1768
DE,1999,JP,1761
DE,2018,US,1759
US,1996,JP,1753
KR,2010,US,1751
KR,2006,JP,1750
TW,2021,JP,1747
